ondnr;gendergelijkheid;implementatie_werknemersrechten;sociale_relaties;werkgelegenheid;organisatie_op_het_werk;gezondheid_en_veiligheid;opleidingsbeleid;SDg;gebruik_van_energiebronnen;gebruik_van_waterbronnen;emissies_van_broeikasgassen;vervuilende_uitstoot;milieu_impact;impact_op_gezondheid_en_veiligheid;verdere_eisen_over_bepaalde_onderwerpen;milieu_beleid;SDGs
0403705486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403709149;0;0;0;1;0;0;1;0;0;0;0;0;0;11;0;0;0
0403713307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403717562;0;0;0;9;0;0;0;0;0;0;2;0;1;0;0;0;0
0403718156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403720136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403722908;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0
0403729143;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0403730232;0;0;1;4;4;2;5;0;0;0;2;0;0;0;0;4;0
0403730628;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
0403745177;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
0403755471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403761510;1;0;0;1;6;6;0;0;0;0;0;0;2;0;0;0;0
0403765468;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
0403770715;0;0;0;0;0;1;1;0;8;0;0;28;61;3;0;0;0
0403771408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403771705;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
0403772396;0;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0;0
0403774178;0;0;0;4;0;26;0;0;0;0;0;2;3;4;0;0;0
0403776158;0;0;0;15;0;6;3;0;0;0;0;0;5;0;1;0;0
0403793578;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0403802585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403803773;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
0403805159;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
0403812879;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
0403814364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403819809;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
0403822975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403833962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403848513;0;0;0;11;2;3;0;0;0;3;0;0;3;4;0;0;0
0403855837;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0403857520;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
0403857619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403862369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0403871970;0;0;0;0;3;0;0;0;0;0;0;0;12;0;0;0;0
0403872762;0;0;0;0;1;0;0;0;0;0;18;0;23;0;0;0;0
0403873851;0;0;0;1;0;6;0;0;0;0;0;0;0;0;1;0;0
0403990548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404009156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404012819;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
0404016678;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0
0404022420;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
0404030833;1;0;0;1;1;1;0;0;0;0;0;0;71;0;0;0;0
0404031922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404036573;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0
0404040533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404045976;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
0404046075;0;0;0;6;0;0;0;0;0;0;0;0;10;0;0;0;0
0404046669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404056765;0;0;0;7;0;3;0;0;0;0;0;0;2;0;0;0;0
0404059438;1;0;0;0;3;1;0;0;0;0;0;0;40;0;1;0;0
0404069039;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
0404069138;0;0;0;0;0;7;0;0;0;0;0;2;2;6;0;0;0
0404069336;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
0404071316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404076363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404078640;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
0404085172;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
0404087647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404094872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404114866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404116549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404121103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404125358;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0404130506;0;0;0;0;0;0;14;0;0;0;0;0;15;0;0;0;0
0404138226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404139513;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0
0404139810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404144065;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0
0404157725;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
0404161584;0;0;0;0;0;1;0;0;0;0;0;0;11;0;0;0;0
0404163762;0;0;0;0;1;2;2;0;0;0;0;0;18;0;0;0;0
0404164554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404166237;0;0;0;0;0;14;3;0;2;0;0;0;25;4;0;2;0
0404167524;0;0;0;20;14;28;12;0;0;0;0;4;22;4;1;0;0
0404169405;0;0;0;0;0;0;8;0;0;0;0;0;18;0;6;0;0
0404172472;0;0;0;6;0;5;6;0;0;0;0;0;0;0;0;0;0
0404174551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404176135;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0
0404199394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404206522;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0
0404207116;0;0;0;1;2;6;1;0;1;0;0;0;6;3;1;0;0
0404209193;0;1;1;5;3;4;0;0;0;0;0;0;7;0;0;2;0
0404211371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404216915;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
0404218004;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
0404219586;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0404221368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404265811;2;0;0;0;0;4;0;0;0;0;0;0;5;0;0;0;0
0404277489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404279568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404280459;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
0404289268;0;0;0;0;0;3;0;0;0;2;0;0;5;0;0;0;0
0404291743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404295109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404297978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404298077;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0404308173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404308965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404312034;0;0;1;21;1;24;6;0;1;2;2;0;2;3;0;0;0
0404313816;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0404319655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404322724;0;0;0;6;0;5;6;0;0;0;0;2;6;4;0;0;0
0404326880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404327573;0;0;0;0;2;1;0;0;1;0;4;5;8;1;0;0;0
0404425563;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
0404453475;0;0;0;0;0;10;0;0;0;0;0;0;41;0;0;0;0
0404458128;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0404462185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404466739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404513556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404525434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404527216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404527810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404532263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404532362;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0404536619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404538696;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
0404542062;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
0404549287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404558195;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0404560769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404578981;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
0404605707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404616494;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0
0404618276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404623226;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
0404624414;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0
0404625305;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404625602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404631540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404635203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404639557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404655096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404664303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404667766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404668261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404697064;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0
0404697559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404703497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404721018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0404752888;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
0404754373;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
0404758630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404763677;0;0;0;2;0;2;2;0;0;0;0;0;3;16;0;2;0
0404765360;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0404777139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404778426;0;0;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0
0404780604;0;0;0;5;0;0;7;0;0;0;4;0;23;0;0;0;0
0404782186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0404784958;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
