ondnr, ,perc, ,score
402166453,    ,13.0,    ,D
402185952,    ,9.0,    ,D
402195256,    ,0.0,    ,D
402247617,    ,5.0,    ,D
402531786,    ,6.0,    ,D
402610970,    ,10.0,    ,D
402777157,    ,5.0,    ,D
402835951,    ,7.0,    ,D
402851787,    ,5.0,    ,D
402867427,    ,10.0,    ,D
402871682,    ,2.0,    ,D
402903653,    ,5.0,    ,D
402915333,    ,11.0,    ,D
402917511,    ,8.0,    ,D
402942453,    ,12.0,    ,D
402980659,    ,2.0,    ,D
402981847,    ,10.0,    ,D
403020350,    ,7.0,    ,D
403040245,    ,5.0,    ,D
403060140,    ,6.0,    ,D
403086468,    ,5.0,    ,D
403113489,    ,13.0,    ,D
403419634,    ,18.0,    ,D
403449823,    ,5.0,    ,D
403470906,    ,8.0,    ,D
403471005,    ,7.0,    ,D
403476547,    ,5.0,    ,D
403495353,    ,12.0,    ,D
403506340,    ,0.0,    ,D
403613337,    ,9.0,    ,D
403613634,    ,12.0,    ,D
403618780,    ,11.0,    ,D
403621057,    ,13.0,    ,D
403629965,    ,19.0,    ,D
403630460,    ,12.0,    ,D
403634222,    ,10.0,    ,D
403646001,    ,11.0,    ,D
403648771,    ,8.0,    ,D
403649563,    ,10.0,    ,D
403650355,    ,0.0,    ,D
403652731,    ,9.0,    ,D
403656986,    ,6.0,    ,D
403661144,    ,8.0,    ,D
403664114,    ,5.0,    ,D
403671834,    ,6.0,    ,D
403674804,    ,8.0,    ,D
403676881,    ,9.0,    ,D
403681336,    ,6.0,    ,D
403699251,    ,14.0,    ,D
403700043,    ,5.0,    ,D
403705486,    ,5.0,    ,D
403709149,    ,24.0,    ,D
403713307,    ,15.0,    ,D
403717562,    ,6.0,    ,D
403718156,    ,5.0,    ,D
403720136,    ,5.0,    ,D
403722908,    ,10.0,    ,D
403729143,    ,1.0,    ,D
403730232,    ,14.0,    ,D
403730628,    ,6.0,    ,D
403745177,    ,14.0,    ,D
403755471,    ,5.0,    ,D
403755966,    ,7.0,    ,D
403761510,    ,15.0,    ,D
403763686,    ,7.0,    ,D
403765468,    ,6.0,    ,D
403767052,    ,5.0,    ,D
403770715,    ,21.0,    ,D
403771408,    ,0.0,    ,D
403771705,    ,7.0,    ,D
403772396,    ,11.0,    ,D
403774178,    ,12.0,    ,D
403776158,    ,8.0,    ,D
403793578,    ,8.0,    ,D
403802585,    ,6.0,    ,D
403803773,    ,9.0,    ,D
403805159,    ,9.0,    ,D
403812879,    ,4.0,    ,D
403814364,    ,10.0,    ,D
403819809,    ,6.0,    ,D
403822975,    ,6.0,    ,D
403827529,    ,9.0,    ,D
403833962,    ,0.0,    ,D
403848513,    ,14.0,    ,D
403855837,    ,12.0,    ,D
403857520,    ,6.0,    ,D
403857619,    ,6.0,    ,D
403862369,    ,11.0,    ,D
403871970,    ,2.0,    ,D
403872762,    ,13.0,    ,D
403873851,    ,13.0,    ,D
403877811,    ,8.0,    ,D
403990548,    ,7.0,    ,D
404012819,    ,8.0,    ,D
404016678,    ,8.0,    ,D
404022420,    ,7.0,    ,D
404030833,    ,8.0,    ,D
404031922,    ,6.0,    ,D
404036573,    ,7.0,    ,D
404040533,    ,5.0,    ,D
404045976,    ,7.0,    ,D
404046075,    ,18.0,    ,D
404056765,    ,11.0,    ,D
404059438,    ,20.0,    ,D
404069039,    ,5.0,    ,D
404069138,    ,23.0,    ,D
404069336,    ,5.0,    ,D
404071316,    ,0.0,    ,D
404076363,    ,11.0,    ,D
404078640,    ,6.0,    ,D
404085172,    ,1.0,    ,D
404085766,    ,8.0,    ,D
404087647,    ,16.0,    ,D
404094872,    ,7.0,    ,D
404114866,    ,6.0,    ,D
404116549,    ,7.0,    ,D
404121103,    ,8.0,    ,D
404125358,    ,9.0,    ,D
404130506,    ,7.0,    ,D
404138226,    ,10.0,    ,D
404139513,    ,8.0,    ,D
404139810,    ,7.0,    ,D
404144065,    ,20.0,    ,D
404157725,    ,6.0,    ,D
404161584,    ,9.0,    ,D
404163762,    ,15.0,    ,D
404164554,    ,5.0,    ,D
404166237,    ,12.0,    ,D
404167524,    ,26.0,    ,C
404169405,    ,12.0,    ,D
404172472,    ,0.0,    ,D
404174551,    ,5.0,    ,D
404175937,    ,0.0,    ,D
404176135,    ,11.0,    ,D
404199394,    ,0.0,    ,D
404206522,    ,7.0,    ,D
404207116,    ,17.0,    ,D
404209193,    ,15.0,    ,D
404211371,    ,4.0,    ,D
404216915,    ,6.0,    ,D
404218004,    ,7.0,    ,D
404219586,    ,10.0,    ,D
404221368,    ,5.0,    ,D
404265811,    ,9.0,    ,D
404272739,    ,9.0,    ,D
404277489,    ,5.0,    ,D
404279568,    ,7.0,    ,D
404280459,    ,10.0,    ,D
404289268,    ,7.0,    ,D
