ondnr, ,perc, ,score
413121218,    ,12.0,    ,D
413136856,    ,12.0,    ,D
413137945,    ,6.0,    ,D
413162293,    ,5.0,    ,D
413176250,    ,8.0,    ,D
413196937,    ,8.0,    ,D
413210201,    ,11.0,    ,D
413214951,    ,5.0,    ,D
413258404,    ,10.0,    ,D
413278990,    ,5.0,    ,D
413281267,    ,5.0,    ,D
413312347,    ,9.0,    ,D
413346692,    ,5.0,    ,D
413424292,    ,5.0,    ,D
413458441,    ,5.0,    ,D
413480811,    ,9.0,    ,D
413495162,    ,6.0,    ,D
413531289,    ,8.0,    ,D
413538912,    ,7.0,    ,D
413560092,    ,5.0,    ,D
413567220,    ,10.0,    ,D
413567319,    ,13.0,    ,D
413567616,    ,5.0,    ,D
413573356,    ,5.0,    ,D
413606218,    ,4.0,    ,D
413608493,    ,6.0,    ,D
413622648,    ,9.0,    ,D
413643533,    ,10.0,    ,D
413656894,    ,6.0,    ,D
413665705,    ,13.0,    ,D
413670356,    ,27.0,    ,C
413676690,    ,11.0,    ,D
413697872,    ,6.0,    ,D
413714007,    ,1.0,    ,D
413723806,    ,0.0,    ,D
413723905,    ,9.0,    ,D
413735088,    ,5.0,    ,D
413735187,    ,5.0,    ,D
413744194,    ,11.0,    ,D
413753894,    ,11.0,    ,D
413762903,    ,8.0,    ,D
413776660,    ,18.0,    ,D
413787647,    ,0.0,    ,D
413792003,    ,0.0,    ,D
413792496,    ,4.0,    ,D
413796456,    ,15.0,    ,D
413811304,    ,5.0,    ,D
413822190,    ,5.0,    ,D
413842778,    ,7.0,    ,D
413861485,    ,5.0,    ,D
413877224,    ,27.0,    ,C
413888211,    ,5.0,    ,D
413901473,    ,5.0,    ,D
