ondernemingsnummer;aantal;omzet;balanstotaal;framework;soort;sector
424902956;12;4159368.0;4417428;Nee;None;Schrijven van computerprogramma's
462393951;0;0.0;0;Nee;0;Groothandel in verpakkingsmachines en weegtoestellen
422748071;0;0.0;0;Nee;0;Groothandel in hout
403460216;0;0.0;0;Nee;0;Diensten in verband met vervoer te land
697958154;72;3460977.0;1746931;Nee;None;Rust
845855341;61;4099253.0;3037634;Nee;None;Rust
832301273;61;4097981.0;843306;Nee;None;Diensten in verband met de luchtvaart
400752332;43;4087588.0;5281595;Nee;None;Vervaardiging van bier
450424448;2;4077697.0;996809;Nee;None;Detailhandel via postorderbedrijven of via internet
403370441;53;4076166.0;4092945;Nee;None;Personenvervoer te land binnen steden of voorsteden
400660280;36;4073141.0;2340656;Nee;None;Goederenvervoer over de weg, m.u.v. verhuisbedrijven
471614394;0;0.0;0;Nee;0;Overige adviesbureaus op het gebied van bedrijfsbeheer, adviesbureaus op het gebied van bedrijfsvoering
892868766;114;70.0;0;Nee;None;Behandeling en verwijdering van ongevaarlijk afval, m.u.v. slib en vloeibare afvalstoffen
422081444;65;4006176.0;5480815;Nee;None;Rusthuizen voor ouderen (R.O.B.)
811777855;77;4279733.0;1571117;Nee;None;Rust
433419259;68;3985898.0;6714895;Nee;None;Rusthuizen voor ouderen (R.O.B.)
466731930;3;4310223.0;4056380;Nee;None;Groothandel in elektrisch materiaal, inclusief installatiemateriaal
472500163;14;3976813.0;1715529;Nee;None;Interieurarchitecten
886789638;66;3918650.0;32537231;Nee;None;Hotels en dergelijke accommodatie
872903691;10;4979128.0;2534256;Nee;None;Prepress
478066478;24;4239651.0;2214597;Nee;None;Bouw van autowegen en andere wegen
424460914;5;3787435.0;2415652;Nee;None;Groothandel in installatiemateriaal voor loodgieterswerk en verwarming
420820345;17;3865682.0;1243971;Nee;None;Vervaardiging van overige geconfectioneerde artikelen van textiel, m.u.v. kleding
461149183;2;2082287.0;2865386;Nee;None;Markt
476201110;9;4782952.0;2000497;Nee;None;Groothandel in elektrisch materiaal, inclusief installatiemateriaal
